dataset,model,split,n,months,pinball_loss_q90,equal_month_pinball,coverage_y_le_q90,calibration_gap,monthly_oracle_loss,dynamic_regret,regime_switches,weight_turnover
NBS national continuation,Static empirical q90,validation_2022,336,12,0.9218759344084135,0.9218759344084136,0.9583333333333334,0.05833333333333335,0.8871696878302134,0.034706246578200206,0,0.0
NBS national continuation,Fixed-persistence gate,validation_2022,336,12,0.9357669621399157,0.9357669621399157,0.9315476190476191,0.03154761904761905,0.8871696878302134,0.04859727430970229,0,0.0
NBS national continuation,Global conformal (12m),validation_2022,336,12,1.1066717409132,1.1066717409131999,0.9613095238095238,0.061309523809523814,0.8871696878302134,0.21950205308298643,0,0.0
NBS national continuation,Pure hierarchical conformal,validation_2022,336,12,0.9478275834488337,0.9478275834488338,0.9315476190476191,0.03154761904761905,0.8871696878302134,0.06065789561862034,0,0.0
NBS national continuation,Loss-aware inertial expert mixture,validation_2022,336,12,0.9162697536059251,0.9162697536059251,0.9583333333333334,0.05833333333333335,0.8871696878302134,0.02910006577571167,0,1.0354124103601074
NBS national continuation,Stress-override inertial expert mixture,validation_2022,336,12,0.9226765925164997,0.9226765925164998,0.9345238095238095,0.03452380952380951,0.8871696878302134,0.03550690468628637,1,1.0354124103601074
NBS national continuation,Static empirical q90,test_2023_onward,638,23,5.582045538898877,5.563758423097814,0.7021943573667712,-0.19780564263322886,3.7293321649333375,1.8344262581644761,0,0.0
NBS national continuation,Fixed-persistence gate,test_2023_onward,638,23,4.217565822448572,4.209877625075916,0.8573667711598746,-0.04263322884012544,3.7293321649333375,0.4805454601425785,0,0.0
NBS national continuation,Global conformal (12m),test_2023_onward,638,23,5.052423087919634,5.0346191411886965,0.725705329153605,-0.17429467084639505,3.7293321649333375,1.305286976255359,0,0.0
NBS national continuation,Pure hierarchical conformal,test_2023_onward,638,23,4.481446203590718,4.4737355648853905,0.7335423197492164,-0.16645768025078367,3.7293321649333375,0.744403399952053,0,0.0
NBS national continuation,Loss-aware inertial expert mixture,test_2023_onward,638,23,4.458762652641522,4.444114547783383,0.7789968652037618,-0.12100313479623825,3.7293321649333375,0.7147823828500455,0,2.209164628160431
NBS national continuation,Stress-override inertial expert mixture,test_2023_onward,638,23,4.2062650389224965,4.197443655658188,0.829153605015674,-0.07084639498432599,3.7293321649333375,0.4681114907248505,3,2.209164628160431
WFP market observations,Static empirical q90,validation_2022,782,12,10.50357408917533,4.775558250685143,0.8618925831202046,-0.038107416879795464,4.1576867622324265,0.6178714884527166,0,0.0
WFP market observations,Fixed-persistence gate,validation_2022,782,12,10.703347269124954,4.6826329518774985,0.8644501278772379,-0.03554987212276217,4.1576867622324265,0.524946189645072,0,0.0
WFP market observations,Global conformal (12m),validation_2022,782,12,10.841636378868797,4.608566319853091,0.8887468030690537,-0.011253196930946285,4.1576867622324265,0.4508795576206648,0,0.0
WFP market observations,Pure hierarchical conformal,validation_2022,782,12,11.11525480973733,5.320046207434041,0.850383631713555,-0.049616368286445,4.1576867622324265,1.1623594452016146,0,0.0
WFP market observations,Loss-aware inertial expert mixture,validation_2022,782,12,10.702718385078105,4.764768460022371,0.8670076726342711,-0.03299232736572888,4.1576867622324265,0.6070816977899449,0,0.549630580751038
WFP market observations,Stress-override inertial expert mixture,validation_2022,782,12,10.762258273269232,4.675211886428859,0.8670076726342711,-0.03299232736572888,4.1576867622324265,0.5175251241964327,3,0.549630580751038
WFP market observations,Static empirical q90,test_2023_onward,7123,38,6.679304876081864,6.706745031077164,0.8496420047732697,-0.050357995226730345,5.764906735552037,0.9418382955251268,0,0.0
WFP market observations,Fixed-persistence gate,test_2023_onward,7123,38,6.49355236380088,6.38240572635338,0.865927277832374,-0.034072722167626024,5.764906735552037,0.6174989908013435,0,0.0
WFP market observations,Global conformal (12m),test_2023_onward,7123,38,6.340291643499548,6.240397043717543,0.891618699985961,-0.008381300014039028,5.764906735552037,0.4754903081655062,0,0.0
WFP market observations,Pure hierarchical conformal,test_2023_onward,7123,38,6.39747635042679,6.520149000916516,0.8551172258879686,-0.044882774112031454,5.764906735552037,0.7552422653644788,0,0.0
WFP market observations,Loss-aware inertial expert mixture,test_2023_onward,7123,38,6.089257957151341,6.057635333843919,0.8837568440263934,-0.016243155973606593,5.764906735552037,0.29272859829188214,0,2.7145071902451985
WFP market observations,Stress-override inertial expert mixture,test_2023_onward,7123,38,6.111024269080655,6.074081403311076,0.8831952828864242,-0.016804717113575784,5.764906735552037,0.3091746677590388,2,2.7145071902451985
