scenario,model,replicates,mean_pinball,p025_pinball,p975_pinball,mean_coverage,p025_coverage,p975_coverage,mean_dynamic_regret
abrupt_permanent,Fixed-persistence gate,60,1.0357954986426856,0.9588012330273217,1.1765249188707745,0.7260416666666667,0.6991435185185185,0.7433217592592593,0.16994613027539746
abrupt_permanent,Global conformal,60,0.9414591939257717,0.8934144861110875,1.0181638070385919,0.7718904320987654,0.7604050925925926,0.7835763888888889,0.07560982555848368
abrupt_permanent,Meta-controller,60,1.013757365430955,0.9488686598445146,1.090674237421659,0.7349537037037039,0.7200810185185185,0.7474652777777778,0.1479079970636671
abrupt_permanent,Pure hierarchical conformal,60,0.884230052750669,0.8256559236373266,0.9405650709484974,0.7994444444444445,0.7899652777777778,0.8081597222222222,0.01838068438338099
abrupt_permanent,Static,60,4.214901768668011,4.101692152936752,4.3259059996764915,0.05364969135802469,0.04537037037037037,0.0648611111111111,3.3490524003007227
gradual_break_recovery,Fixed-persistence gate,60,0.9273615721080817,0.8695313312072218,1.0804483841129395,0.7441512345679012,0.6914236111111111,0.7687847222222223,0.16046800255816096
gradual_break_recovery,Global conformal,60,0.9948738790579347,0.9616714663093499,1.0354314755391563,0.7764506172839505,0.7617939814814815,0.7870601851851852,0.2279803095080139
gradual_break_recovery,Meta-controller,60,0.9183415065521506,0.8839689513295254,0.969767285761169,0.7577006172839506,0.7384259259259259,0.7734375,0.1514479370022298
gradual_break_recovery,Pure hierarchical conformal,60,0.832299333762672,0.8061177364077253,0.8683802789568612,0.7986033950617283,0.7840162037037037,0.8092824074074074,0.06540576421275135
gradual_break_recovery,Static,60,1.8906452203872592,1.83845927932833,1.959414218118021,0.5063271604938272,0.49256944444444445,0.5185416666666667,1.1237516508373384
heterogeneous_subgroups,Fixed-persistence gate,60,1.8921165888598828,1.351020397933026,2.3611528416935506,0.6911728395061729,0.6003240740740741,0.7985532407407407,0.8581307934480541
heterogeneous_subgroups,Global conformal,60,1.2114095293533838,1.1742449395930232,1.2538425090923462,0.8369907407407408,0.8300694444444444,0.8435185185185186,0.177423733941555
heterogeneous_subgroups,Meta-controller,60,1.1964487365887695,1.1570281132581721,1.233072686816275,0.8077314814814813,0.7926967592592593,0.8211226851851852,0.16246294117694043
heterogeneous_subgroups,Pure hierarchical conformal,60,1.0394320276378612,1.0059114095222454,1.0672415743872723,0.8681327160493826,0.8599189814814815,0.8762152777777777,0.005446232226032482
heterogeneous_subgroups,Static,60,2.3399537527444747,2.2759568072130825,2.3925550788898877,0.6059876543209874,0.5976851851851852,0.6138888888888889,1.3059679573326455
no_break,Fixed-persistence gate,60,0.5342114000288591,0.5009581536900285,0.5669067879420411,0.8986651234567902,0.8886458333333334,0.9127430555555556,0.005136119505190493
no_break,Global conformal,60,0.5346434674383779,0.5015779535043166,0.5658024467790815,0.8997067901234568,0.890474537037037,0.9060416666666666,0.005568186914709147
no_break,Meta-controller,60,0.534294781895101,0.5012254474678224,0.5666332484128286,0.8978703703703704,0.8904976851851851,0.9072106481481481,0.005219501371432479
no_break,Pure hierarchical conformal,60,0.5370790155361376,0.5031207168339976,0.5695724444345006,0.8930709876543211,0.886087962962963,0.8988541666666666,0.008003735012468956
no_break,Static,60,0.53369441167074,0.5005063346396371,0.5659558659878008,0.9007793209876543,0.8888888888888888,0.9148611111111111,0.004619131147071457
temporary_recovery,Fixed-persistence gate,60,1.08746715084643,1.018463120587375,1.1685998757978404,0.7570216049382718,0.7355671296296296,0.7790625,0.23089466247803514
temporary_recovery,Global conformal,60,1.1143604956476465,1.0615063023482365,1.1733630687778995,0.8078163580246914,0.7955439814814814,0.8202199074074075,0.2577880072792517
temporary_recovery,Meta-controller,60,1.0803709285622647,1.02457060126893,1.1485598918916493,0.7689351851851851,0.7546064814814815,0.7844212962962963,0.22379844019386969
temporary_recovery,Pure hierarchical conformal,60,0.990213126614492,0.9403049222361844,1.0489330716182403,0.8207098765432098,0.8099421296296296,0.8317708333333333,0.13364063824609715
temporary_recovery,Static,60,1.754850091385523,1.7045510959122054,1.8149986659693913,0.6176466049382717,0.6073842592592592,0.6282638888888888,0.8982776030171278
volatility_break_recovery,Fixed-persistence gate,60,0.7593424272317276,0.7206000858775496,0.8125847363146312,0.8856635802469135,0.8731481481481481,0.8951736111111112,0.02676603856938851
volatility_break_recovery,Global conformal,60,0.7853914261839132,0.7407448675891343,0.8472566938671955,0.8909953703703705,0.8833101851851852,0.9014814814814816,0.05281503752157431
volatility_break_recovery,Meta-controller,60,0.7609133086637198,0.7211526895645901,0.8156492381510412,0.8873302469135802,0.8782175925925926,0.8944444444444445,0.028336920001380706
volatility_break_recovery,Pure hierarchical conformal,60,0.7671763705166589,0.7230821384899904,0.8202945953657033,0.8867824074074073,0.8781944444444444,0.8949305555555556,0.03459998185431985
volatility_break_recovery,Static,60,0.7821390309023284,0.7393152679666871,0.8431090362231903,0.8515200617283951,0.8395717592592593,0.8625231481481481,0.04956264223998938
