dataset,date,model,dynamic_regret
NBS national continuation,2025-07-01,Pure hierarchical conformal,0.0
NBS national continuation,2025-07-01,Stress-override inertial expert mixture,1.0292126576510898
NBS national continuation,2025-08-01,Static empirical q90,0.0
NBS national continuation,2025-08-01,Fixed-persistence gate,1.343507210772515
NBS national continuation,2025-08-01,Global conformal (12m),1.1268193950538332
NBS national continuation,2025-08-01,Pure hierarchical conformal,0.0629388762513525
NBS national continuation,2025-08-01,Stress-override inertial expert mixture,1.069847599476034
NBS national continuation,2025-09-01,Static empirical q90,0.0966317468244084
NBS national continuation,2025-09-01,Fixed-persistence gate,1.2588652799086095
NBS national continuation,2025-09-01,Global conformal (12m),1.0421774641899284
NBS national continuation,2025-09-01,Pure hierarchical conformal,0.0
NBS national continuation,2025-09-01,Stress-override inertial expert mixture,0.9898756072118622
NBS national continuation,2025-10-01,Static empirical q90,0.2662592862567032
NBS national continuation,2025-10-01,Fixed-persistence gate,0.7706359167315704
NBS national continuation,2025-10-01,Global conformal (12m),0.2732789049394031
NBS national continuation,2025-10-01,Pure hierarchical conformal,0.0
NBS national continuation,2025-10-01,Stress-override inertial expert mixture,0.6531042025803198
NBS national continuation,2025-11-01,Static empirical q90,0.3254803135005781
NBS national continuation,2025-11-01,Fixed-persistence gate,0.3254803135005781
NBS national continuation,2025-11-01,Global conformal (12m),0.1380002148442756
NBS national continuation,2025-11-01,Pure hierarchical conformal,0.0
NBS national continuation,2025-11-01,Stress-override inertial expert mixture,0.2605682743412385
NBS national continuation,2025-12-01,Static empirical q90,0.4347061083162992
NBS national continuation,2025-12-01,Fixed-persistence gate,0.4347061083162992
NBS national continuation,2025-12-01,Global conformal (12m),0.2926254672719818
NBS national continuation,2025-12-01,Pure hierarchical conformal,0.0
NBS national continuation,2025-12-01,Stress-override inertial expert mixture,0.3583455601929468
NBS national continuation,2026-01-01,Static empirical q90,0.3249237046490048
NBS national continuation,2026-01-01,Fixed-persistence gate,0.3249237046490048
NBS national continuation,2026-01-01,Global conformal (12m),0.0
NBS national continuation,2026-01-01,Pure hierarchical conformal,0.2823674647333416
NBS national continuation,2026-01-01,Stress-override inertial expert mixture,0.1812101678460834
